1	9	10	1160
2	3	5	1075
3	6	12	891
4	1	4	483
5	4	10	413
6	10	12	1182
7	5	12	384
8	12	12	827
9	1	1	470
10	1	8	373
11	12	12	410
12	11	12	127
13	11	11	595
14	3	10	1137
15	4	11	580
16	8	10	856
17	8	12	283
18	8	8	773
19	8	10	149
20	6	9	265
21	6	7	769
22	10	10	1083
23	8	10	679
24	3	12	571
25	1	10	148
26	8	10	539
27	1	9	630
28	12	12	1178
29	10	11	370
30	7	10	174
31	1	10	398
32	5	10	1127
33	12	12	165
34	4	7	430
35	3	10	208
36	8	8	735
37	5	7	940
38	12	12	410
39	3	7	1117
40	5	12	609
41	2	7	562
42	5	12	1172
43	7	10	157
44	6	8	222
45	3	9	382
46	10	12	141
47	6	8	869
48	11	11	765
49	3	10	349
50	5	7	840
51	12	12	450
52	9	11	359
53	4	9	730
54	2	3	120
55	6	9	986
56	2	3	1098
57	1	9	222
58	6	12	1002
59	11	11	898
60	2	8	104
61	10	10	102
62	11	12	1160
63	9	11	277
64	3	7	1136
65	7	7	1064
66	3	8	883
67	8	9	1144
68	5	9	244
69	4	11	789
70	9	11	960
71	7	9	521
72	8	11	598
73	2	4	233
74	9	9	485
75	10	12	771
76	10	10	781
77	9	9	685
78	11	11	613
79	5	9	848
80	4	5	348
81	11	11	1095
82	6	12	480
83	4	10	761
84	1	8	274
85	12	12	1032
86	7	11	846
87	10	12	175
88	5	8	214
89	4	11	837
90	9	9	498
91	9	10	175
92	8	9	861
93	10	10	212
94	3	8	581
95	1	1	882
96	11	12	902
97	9	10	385
98	12	12	295
99	11	12	863
100	4	11	267
